Time (s),Speed (km/h),Acceleration (m/s2),Partial distance (m)/ Speed(m/s),Total distance (m)
214,41.6,0.30555555555555597,11.555555555555555,1103.944444444445
215,43.1,0.41666666666666663,11.972222222222223,1115.9166666666672
216,45.0,0.5277777777777773,12.5,1128.4166666666672
217,47.1,0.5833333333333337,13.083333333333334,1141.5000000000005
218,49.0,0.5277777777777773,13.61111111111111,1155.1111111111115
219,50.6,0.4444444444444448,14.055555555555555,1169.1666666666672
220,51.8,0.33333333333333215,14.388888888888888,1183.555555555556
221,52.7,0.25000000000000155,14.63888888888889,1198.194444444445
222,53.1,0.11111111111111072,14.75,1212.944444444445
223,53.5,0.11111111111111072,14.86111111111111,1227.805555555556
224,53.8,0.08333333333333254,14.944444444444443,1242.7500000000005
225,54.2,0.11111111111111269,15.055555555555555,1257.805555555556
226,54.8,0.16666666666666508,15.222222222222221,1273.0277777777783
227,55.3,0.1388888888888889,15.36111111111111,1288.3888888888894
228,55.8,0.1388888888888889,15.499999999999998,1303.8888888888894
229,56.2,0.11111111111111269,15.61111111111111,1319.5000000000005
230,56.5,0.08333333333333254,15.694444444444445,1335.1944444444448
231,56.5,0.0,15.694444444444445,1350.8888888888891
232,56.2,-0.08333333333333254,15.61111111111111,1366.5000000000002
233,54.9,-0.36111111111111227,15.25,1381.7500000000002
234,52.9,-0.5555555555555556,14.694444444444443,1396.4444444444446
235,51.0,-0.5277777777777773,14.166666666666666,1410.6111111111113
236,49.8,-0.3333333333333341,13.833333333333332,1424.4444444444446
237,49.2,-0.16666666666666508,13.666666666666668,1438.1111111111113
238,48.4,-0.2222222222222234,13.444444444444443,1451.5555555555557
239,46.9,-0.41666666666666663,13.027777777777777,1464.5833333333335
240,44.3,-0.7222222222222227,12.305555555555554,1476.8888888888891
241,41.5,-0.777777777777777,11.527777777777777,1488.416666666667
242,39.5,-0.5555555555555556,10.972222222222221,1499.3888888888891
243,37.0,-0.6944444444444444,10.277777777777777,1509.666666666667
244,34.6,-0.6666666666666663,9.61111111111111,1519.277777777778
245,32.3,-0.6388888888888901,8.972222222222221,1528.2500000000002
246,29.0,-0.9166666666666659,8.055555555555555,1536.3055555555559
247,25.1,-1.0833333333333328,6.972222222222222,1543.277777777778
248,22.2,-0.8055555555555561,6.166666666666666,1549.4444444444448
249,20.9,-0.3611111111111113,5.805555555555555,1555.2500000000005
250,20.4,-0.1388888888888889,5.666666666666666,1560.9166666666672
251,19.5,-0.2499999999999996,5.416666666666667,1566.333333333334
252,18.4,-0.30555555555555597,5.111111111111111,1571.444444444445
253,17.8,-0.16666666666666607,4.944444444444445,1576.3888888888894
254,17.8,0.0,4.944444444444445,1581.3333333333337
255,17.4,-0.1111111111111117,4.833333333333333,1586.166666666667
256,15.7,-0.472222222222222,4.361111111111111,1590.527777777778
257,14.5,-0.33333333333333315,4.027777777777778,1594.5555555555559
258,15.4,0.2500000000000001,4.277777777777778,1598.8333333333337
259,17.9,0.694444444444444,4.972222222222221,1603.8055555555559
260,20.6,0.7500000000000008,5.722222222222222,1609.527777777778
261,23.2,0.7222222222222217,6.444444444444444,1615.9722222222224
262,25.7,0.6944444444444444,7.138888888888888,1623.1111111111113
263,28.7,0.8333333333333333,7.972222222222221,1631.0833333333335
264,32.5,1.0555555555555558,9.027777777777777,1640.1111111111113
265,36.1,1.0000000000000004,10.027777777777779,1650.1388888888891
266,39.0,0.8055555555555551,10.833333333333334,1660.9722222222224
267,40.8,0.4999999999999992,11.333333333333332,1672.3055555555557
268,42.9,0.5833333333333337,11.916666666666666,1684.2222222222224
269,44.4,0.41666666666666663,12.333333333333332,1696.5555555555557
270,45.9,0.41666666666666663,12.75,1709.3055555555557
271,46.0,0.027777777777778172,12.777777777777777,1722.0833333333335
272,45.6,-0.11111111111111072,12.666666666666666,1734.7500000000002
273,45.3,-0.08333333333333452,12.583333333333332,1747.3333333333335
